standing_id,team_name,season,match_day,position,games_played,wins,draws,losses,goals_for,goals_against,goal_difference,points,scraped_at
199,FC Neukirchen-Vluyn,2526,null,1,5,4,1,0,12,7,5,13,2025-09-15 06:25:58.619802+00
216,Spvgg. Meiderich 06/​95,2526,null,17,5,0,1,4,8,20,-12,1,2025-09-15 06:25:58.619802+00
215,SV Rhenania Hamborn,2526,null,17,5,0,1,4,8,20,-12,1,2025-09-15 06:25:58.619802+00
214,VFB Homberg II.,2526,null,16,5,1,0,4,7,13,-6,3,2025-09-15 06:25:58.619802+00
213,GSG Duisburg,2526,null,15,5,1,1,3,8,23,-15,4,2025-09-15 06:25:58.619802+00
212,Schwarz-Weiss Alstaden,2526,null,14,5,1,1,3,12,21,-9,4,2025-09-15 06:25:58.619802+00
211,SuS 09 Dinslaken,2526,null,13,5,1,1,3,13,12,1,4,2025-09-15 06:25:58.619802+00
210,Tus Asterlagen,2526,null,12,5,1,2,2,8,9,-1,5,2025-09-15 06:25:58.619802+00
209,SV Genc Osman Duisburg,2526,null,11,5,1,2,2,6,6,0,5,2025-09-15 06:25:58.619802+00
208,1. FC Mülheim,2526,null,10,5,2,0,3,12,13,-1,6,2025-09-15 06:25:58.619802+00
207,SuS 21 Oberhausen,2526,null,9,5,2,1,2,12,10,2,7,2025-09-15 06:25:58.619802+00
206,Rheinland Hamborn,2526,null,8,5,2,2,1,10,8,2,8,2025-09-15 06:25:58.619802+00
205,TuS Viktoria Buchholz,2526,null,7,5,2,3,0,9,3,6,9,2025-09-15 06:25:58.619802+00
204,SC 1920 Oberhausen,2526,null,6,5,3,1,1,12,6,6,10,2025-09-15 06:25:58.619802+00
203,Mülheimer SV 07,2526,null,5,5,3,1,1,22,15,7,10,2025-09-15 06:25:58.619802+00
202,Duisburger SV 1900,2526,null,4,5,3,2,0,16,5,11,11,2025-09-15 06:25:58.619802+00
201,VfL Repelen,2526,null,3,5,3,2,0,19,8,11,11,2025-09-15 06:25:58.619802+00
200,Duisburger FV 08,2526,null,2,5,4,0,1,14,9,5,12,2025-09-15 06:25:58.619802+00
190,SV Genc Osman Duisburg,2526,null,10,4,1,1,2,5,5,0,4,2025-09-13 14:31:04.598883+00
198,Schwarz-Weiss Alstaden,2526,null,18,4,0,1,3,8,19,-11,1,2025-09-13 14:31:04.598883+00
197,Spvgg. Meiderich 06/​95,2526,null,17,4,0,1,3,6,16,-10,1,2025-09-13 14:31:04.598883+00
196,SV Rhenania Hamborn,2526,null,16,4,0,1,3,6,14,-8,1,2025-09-13 14:31:04.598883+00
195,SuS 09 Dinslaken,2526,null,15,4,0,1,3,7,11,-4,1,2025-09-13 14:31:04.598883+00
194,VFB Homberg II.,2526,null,14,5,1,0,4,7,13,-6,3,2025-09-13 14:31:04.598883+00
193,GSG Duisburg,2526,null,13,4,1,1,2,7,17,-10,4,2025-09-13 14:31:04.598883+00
192,SuS 21 Oberhausen,2526,null,12,4,1,1,2,6,8,-2,4,2025-09-13 14:31:04.598883+00
191,Tus Asterlagen,2526,null,11,4,1,1,2,6,7,-1,4,2025-09-13 14:31:04.598883+00
189,Rheinland Hamborn,2526,null,9,4,1,2,1,7,8,-1,5,2025-09-13 14:31:04.598883+00
188,1. FC Mülheim,2526,null,8,5,2,0,3,12,13,-1,6,2025-09-13 14:31:04.598883+00
187,TuS Viktoria Buchholz,2526,null,7,4,2,2,0,7,1,6,8,2025-09-13 14:31:04.598883+00
186,SC 1920 Oberhausen,2526,null,6,4,3,0,1,10,4,6,9,2025-09-13 14:31:04.598883+00
185,Mülheimer SV 07,2526,null,5,4,3,0,1,21,14,7,9,2025-09-13 14:31:04.598883+00
184,Duisburger SV 1900,2526,null,4,5,3,2,0,16,5,11,11,2025-09-13 14:31:04.598883+00
183,VfL Repelen,2526,null,3,5,3,2,0,19,8,11,11,2025-09-13 14:31:04.598883+00
182,FC Neukirchen-Vluyn,2526,null,2,4,4,0,0,10,5,5,12,2025-09-13 14:31:04.598883+00
181,Duisburger FV 08,2526,null,1,4,4,0,0,14,6,8,12,2025-09-13 14:31:04.598883+00
